ID_DISCENTE,SEXO,ESTADO_CIVIL,DATA_NASCIMENTO,RACA_COR,DEFICIENCIA,NATURALIDADE,UF_NATURALIDADE,DESCR_BAIRRO,CIDADE_END,UF_CIDADE_END,FORMA_INGRESSO,COD_CURSO,CURSO,ANO_INGRESSO,PERIODO_INGRESSO
125360,M,Casado(a),20/02/1985,Negra,,CRUZEIRO DO SUL,AC,AEROPORTO VELHO,CRUZEIRO DO SUL,AC,Processo Seletivo Doutorado,PPG-EDU-D,Doutorado em Educação,2017,1
138417,M,Solteiro(a),13/03/1980,Amarela,,ALAGOA NOVA,PB,MONTE CASTELO,TEFE,AM,Processo Seletivo Mestrado,PPG-FILO-M,Mestrado Profissional em Filosofia,2019,1
140986,M,Solteiro(a),31/03/1979,Branca,,ENVIRA,AM,OLARIA,TEFE,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2019,2
30050,M,Solteiro(a),14/04/1980,Branca,,TEFE,AM,SAO FRANCISCO,TEFE,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2018,2
53228,F,Solteiro(a),14/05/1990,Parda,,TEFE,AM,SAO FRANCISCO,TEFE,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2019,2
69178,F,Solteiro(a),28/04/1993,Não Declarada,,COARI,AM,GM3,TABATINGA,AM,Processo Seletivo Mestrado,PPG-SCA-M,Mestrado em Sociedade e Cultura na Amazônia,2018,1
134173,M,Casado(a),29/07/1985,Branca,,SAO SEBASTIAO DO TOCANTINS,TO,CACHOEIRINHA,SAO GABRIEL DA CACHOEIRA,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2018,2
23879,M,Solteiro(a),06/02/1987,Branca,,MANAUS,AM,CACHOEIRINHA,SAO GABRIEL DA CACHOEIRA,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2018,2
30050,M,Solteiro(a),14/04/1980,Branca,,TEFE,AM,MIGUEL QUIRINO,SAO GABRIEL DA CACHOEIRA,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2018,2
68809,M,Solteiro(a),21/11/1989,Negra,,MAUES,AM,CACHOEIRINHA,SAO GABRIEL DA CACHOEIRA,AM,Processo Seletivo Mestrado,PPG-ECAM-M,Mestrado Profissional em Rede Nacional para o Ensino de Ciências Ambientais,2018,2
